MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,FeatureSetup,Purpose,RepresentationStage,Representation,ImbalanceStage,ClassBalance,Model,Evaluation,Fold,Threshold,HeldOutDrug
0.0,0.0,0.0,0.9444444444444444,0.0,0.9258823529411764,0.6015384615384616,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,LOGO,2,0.8,Chlorpromazine_Hcl
0.0,0.0,0.0,0.9444444444444444,0.0,0.9258823529411764,0.6015384615384616,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,LOGO,2,0.85,Chlorpromazine_Hcl
0.0,0.0,0.0,0.9444444444444444,0.0,0.9258823529411764,0.6015384615384616,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,RandomForest,LOGO,2,0.9,Chlorpromazine_Hcl
0.25866602462850585,0.26148409893992935,0.15677966101694915,0.7097222222222223,0.7872340425531915,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.05,
0.3012445101745721,0.33540372670807456,0.23684210526315788,0.8513888888888889,0.574468085106383,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.1,
0.2438436053900644,0.2975206611570248,0.24324324324324326,0.8819444444444444,0.3829787234042553,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.15,
0.24266247222050316,0.2962962962962963,0.26229508196721313,0.8944444444444445,0.3404255319148936,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.2,
0.2758340489953145,0.3225806451612903,0.32608695652173914,0.9125,0.3191489361702128,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.25,
0.24610098396104452,0.29213483146067415,0.30952380952380953,0.9125,0.2765957446808511,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.3,
0.25926150829528016,0.2962962962962963,0.35294117647058826,0.9208333333333333,0.2553191489361702,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.35,
0.23975990581504644,0.2571428571428571,0.391304347826087,0.9277777777777778,0.19148936170212766,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.4,
0.16638717147465124,0.16393442622950818,0.35714285714285715,0.9291666666666667,0.10638297872340426,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.45,
0.12209202650269803,0.10714285714285714,0.3333333333333333,0.9305555555555556,0.06382978723404255,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.5,
0.07019430807865726,0.04,0.3333333333333333,0.9333333333333333,0.02127659574468085,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.55,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.6,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.65,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.7,
0.0,0.0,0.0,0.9347222222222222,0.0,0.816414277133192,0.25359591727723046,ranking_c1_b5,ranking,C1,C1_morgan_only,B5,True,KernelSVM,CV,1,0.75,
