Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.2,0.3046,0.0734,0.3509,0.0687,0.3109,0.0686,0.8993,0.0205,0.4156,0.0923,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.25,0.272,0.0876,0.3132,0.0852,0.3221,0.0948,0.9083,0.0173,0.33,0.1255,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.3,0.2517,0.1289,0.2892,0.1313,0.3238,0.1077,0.9167,0.0143,0.2767,0.1509,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.35,0.2867,0.1342,0.3016,0.1321,0.4383,0.1674,0.9285,0.0164,0.2456,0.1251,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.4,0.2327,0.1394,0.2338,0.1348,0.4245,0.1904,0.9299,0.0129,0.1722,0.1164,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.45,0.2836,0.1489,0.2451,0.1421,0.6167,0.2919,0.9382,0.0101,0.1622,0.1083,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.5,0.2989,0.1427,0.2393,0.1293,0.7083,0.3222,0.9403,0.0082,0.1511,0.0934,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.55,0.2757,0.1774,0.2219,0.1518,0.6417,0.3929,0.9403,0.0082,0.14,0.1047,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.6,0.2521,0.2006,0.2037,0.1672,0.5917,0.4417,0.9396,0.0087,0.1289,0.1136,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.65,0.2047,0.195,0.1473,0.144,0.55,0.4972,0.9389,0.0085,0.0867,0.0871,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.7,0.1776,0.161,0.1145,0.0989,0.55,0.4972,0.9375,0.0065,0.0644,0.0556,0.8464,0.0604,0.3934,0.1126
CV,C2,C2_rdkit_descriptors_only,B5,B5_class_weight_threshold_tuning,0.75,0.1168,0.1538,0.0764,0.0988,0.35,0.4743,0.9368,0.0051,0.0433,0.056,0.8464,0.0604,0.3934,0.1126
