Evaluation,RepresentationStage,Representation,ImbalanceStage,ImbalanceMethod,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
CV,C3,C3_morgan_rdkit,B5,B5_class_weight_threshold_tuning,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8704,0.0552,0.4378,0.0871
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.15,0.3744,0.0705,0.3984,0.0631,0.2908,0.0568,0.8708,0.026,0.6478,0.107,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.2,0.3712,0.0935,0.4055,0.0814,0.3376,0.0906,0.8965,0.0242,0.5411,0.1579,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.1,0.3527,0.0624,0.359,0.0519,0.2385,0.0414,0.8243,0.0363,0.7444,0.1181,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.25,0.3445,0.1344,0.3825,0.1147,0.3808,0.174,0.9118,0.0229,0.4156,0.1508,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.5,0.3171,0.1451,0.2545,0.1306,0.7417,0.3344,0.941,0.0082,0.1622,0.0947,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.05,0.3088,0.0674,0.2922,0.0474,0.1761,0.0314,0.7208,0.047,0.8722,0.1211,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.55,0.3036,0.1363,0.2381,0.1256,0.7417,0.3344,0.9403,0.0075,0.1511,0.0934,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.6,0.3036,0.1363,0.2381,0.1256,0.7417,0.3344,0.9403,0.0075,0.1511,0.0934,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.45,0.3004,0.1583,0.2607,0.1422,0.635,0.3145,0.9389,0.0102,0.1733,0.1081,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.3,0.2989,0.1588,0.3315,0.1387,0.4015,0.2145,0.9188,0.0252,0.2989,0.1228,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.35,0.2788,0.1773,0.2891,0.1539,0.4513,0.2771,0.9285,0.0182,0.2256,0.1313,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.4,0.2753,0.1657,0.2629,0.1518,0.5117,0.266,0.9354,0.0123,0.1844,0.1189,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.65,0.2706,0.1805,0.2094,0.1513,0.6667,0.4082,0.9403,0.0088,0.1289,0.1008,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.7,0.2104,0.1814,0.1591,0.1473,0.55,0.4378,0.9382,0.0083,0.0967,0.097,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.75,0.0839,0.1437,0.0582,0.0938,0.25,0.4249,0.9354,0.0066,0.0333,0.0537,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.8,0.0648,0.1366,0.04,0.0843,0.2,0.4216,0.9361,0.0055,0.0222,0.0468,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.85,0.0324,0.1024,0.02,0.0632,0.1,0.3162,0.9354,0.0047,0.0111,0.0351,0.8672,0.0564,0.4362,0.129
CV,C8,C8_morgan_rdkit_eos2lm8,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8672,0.0564,0.4362,0.129
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.2,0.397,0.1159,0.4291,0.1062,0.3558,0.1181,0.8986,0.03,0.5733,0.1572,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.15,0.3832,0.0678,0.404,0.0584,0.2922,0.049,0.8701,0.0262,0.6689,0.1133,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.1,0.3574,0.0659,0.362,0.054,0.2397,0.0417,0.8236,0.0372,0.7556,0.1151,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.25,0.3375,0.1356,0.3747,0.1179,0.3724,0.1678,0.9097,0.0238,0.4156,0.1649,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.3,0.3178,0.1328,0.3518,0.1165,0.4062,0.1921,0.9194,0.0208,0.3289,0.104,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.5,0.3171,0.1451,0.2545,0.1306,0.7417,0.3344,0.941,0.0082,0.1622,0.0947,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.45,0.3053,0.1509,0.2527,0.1316,0.6917,0.3288,0.9396,0.0098,0.1622,0.0947,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.55,0.3036,0.1363,0.2381,0.1256,0.7417,0.3344,0.9403,0.0075,0.1511,0.0934,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.05,0.2986,0.0506,0.2862,0.0363,0.1727,0.0244,0.7215,0.043,0.85,0.1153,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.6,0.2945,0.1392,0.2255,0.1242,0.7417,0.3344,0.9403,0.0075,0.14,0.0906,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.35,0.274,0.1663,0.287,0.1435,0.4383,0.2663,0.9278,0.0164,0.2256,0.1225,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.4,0.2672,0.1648,0.2519,0.1458,0.515,0.2779,0.9347,0.0128,0.1733,0.1081,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.65,0.2297,0.1838,0.1855,0.1575,0.5417,0.4181,0.9389,0.0072,0.1178,0.1088,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.7,0.1566,0.1842,0.1109,0.1284,0.45,0.4972,0.9368,0.0076,0.0644,0.0764,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.75,0.0927,0.1598,0.06,0.0966,0.3,0.483,0.9354,0.0074,0.0333,0.0537,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8682,0.058,0.4335,0.1195
CV,C6,C6_morgan_eos2lm8,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8682,0.058,0.4335,0.1195
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.15,0.3908,0.0817,0.4272,0.0733,0.3819,0.0954,0.909,0.0239,0.5122,0.116,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.2,0.365,0.0835,0.3995,0.0724,0.4306,0.1333,0.9208,0.0215,0.3944,0.0754,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.1,0.3649,0.091,0.393,0.0812,0.3006,0.0868,0.8743,0.0346,0.6078,0.1393,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.25,0.3441,0.1188,0.3689,0.1109,0.4622,0.1645,0.9292,0.0142,0.32,0.1037,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.05,0.3283,0.0851,0.3289,0.0717,0.2114,0.0567,0.7875,0.0492,0.7767,0.1397,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.45,0.3256,0.1111,0.306,0.1137,0.6,0.2071,0.9382,0.0089,0.2156,0.0942,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.3,0.3189,0.1394,0.3329,0.132,0.4733,0.1888,0.9319,0.0134,0.2678,0.1159,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.4,0.3182,0.1368,0.3177,0.1333,0.5217,0.1783,0.9361,0.0102,0.2356,0.1103,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.35,0.3167,0.1509,0.3282,0.1387,0.4833,0.2108,0.9326,0.0143,0.2567,0.1142,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.5,0.2921,0.1429,0.2641,0.1363,0.575,0.3003,0.9382,0.0076,0.1822,0.1061,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.55,0.2369,0.1549,0.1974,0.1392,0.5583,0.381,0.9368,0.0076,0.13,0.103,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.6,0.1295,0.1563,0.1156,0.1336,0.3,0.3583,0.934,0.0059,0.0756,0.0907,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.65,0.0858,0.1271,0.0715,0.0928,0.2333,0.3443,0.9333,0.0059,0.0433,0.056,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.7,0.0665,0.1194,0.0533,0.0864,0.1833,0.3375,0.934,0.0059,0.0322,0.052,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.75,0.0278,0.1045,0.02,0.0632,0.1,0.3162,0.934,0.0067,0.0111,0.0351,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8807,0.0657,0.4313,0.0908
CV,C1,C1_morgan_only,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.0036,0.0,0.0,0.8807,0.0657,0.4313,0.0908
CV,C4,C4_eos2lm8,B4,B4_threshold_tuning_only,0.2,0.3897,0.0987,0.4224,0.0902,0.3526,0.109,0.8979,0.0287,0.5622,0.1445,0.8652,0.0566,0.4164,0.1291
