Evaluation,Stage,Method,Threshold,MCC_mean,MCC_std,F1_mean,F1_std,Precision_mean,Precision_std,Accuracy_mean,Accuracy_std,Recall_mean,Recall_std,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std
LOGO,B4,B4_threshold_tuning_only,0.3,0.3187,0.2614,0.3122,0.25,0.4625,0.3417,0.9312,0.0526,0.3045,0.3095,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.35,0.3281,0.2373,0.3118,0.2233,0.5208,0.3542,0.9347,0.0533,0.278,0.2692,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.4,0.3329,0.2363,0.2994,0.2258,0.5833,0.3801,0.9375,0.0516,0.2598,0.2725,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.45,0.3014,0.2476,0.2682,0.2307,0.5521,0.407,0.9368,0.0511,0.2285,0.2718,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.5,0.3066,0.2492,0.266,0.2332,0.5938,0.4171,0.9375,0.0515,0.216,0.2679,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.55,0.2292,0.2471,0.2011,0.2186,0.4375,0.4425,0.9354,0.052,0.1679,0.2544,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.6,0.2108,0.2554,0.1863,0.2255,0.4062,0.4553,0.934,0.055,0.1593,0.2583,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.65,0.1803,0.248,0.1527,0.2176,0.375,0.4655,0.9347,0.0574,0.1357,0.2589,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.7,0.0111,0.074,0.0104,0.0417,0.0625,0.25,0.9312,0.0581,0.0057,0.0227,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.934,0.0593,0.0,0.0,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8055,0.1506,0.4547,0.2486
LOGO,B4,B4_threshold_tuning_only,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9347,0.06,0.0,0.0,0.8055,0.1506,0.4547,0.2486
LOGO,B5,B5_class_weight_threshold_tuning,0.05,0.1798,0.1436,0.1916,0.1258,0.1236,0.083,0.6799,0.0626,0.6541,0.3779,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.1,0.218,0.1765,0.2315,0.1689,0.1676,0.1338,0.7854,0.0649,0.5792,0.3621,0.8306,0.1224,0.4472,0.2206
LOGO,B5,B5_class_weight_threshold_tuning,0.15,0.2394,0.1734,0.2576,0.1616,0.212,0.1551,0.8597,0.051,0.4756,0.3218,0.8306,0.1224,0.4472,0.2206
