MCC,F1,Precision,Accuracy,Recall,AUROC,AUPRC,Stage,Method,Evaluation,Fold,Threshold,ClassWeight,Sampler,ThresholdMode,HeldOutDrug
0.0,0.0,0.0,0.9,0.0,0.6844993141289437,0.20536063529108384,B5,B5_class_weight_threshold_tuning,LOGO,5,0.9,balanced,none,sweep,Econazole
0.2827787136702078,0.26666666666666666,0.16,0.7555555555555555,0.8,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.05,balanced,none,sweep,Etravirine
0.3142985354273937,0.3333333333333333,0.23076923076923078,0.8666666666666667,0.6,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.1,balanced,none,sweep,Etravirine
0.2229481606852615,0.26666666666666666,0.2,0.8777777777777778,0.4,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.15,balanced,none,sweep,Etravirine
0.242535625036333,0.2857142857142857,0.2222222222222222,0.8888888888888888,0.4,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.2,balanced,none,sweep,Etravirine
0.3241018617760822,0.36363636363636365,0.3333333333333333,0.9222222222222223,0.4,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.25,balanced,none,sweep,Etravirine
0.1830730233380795,0.2222222222222222,0.25,0.9222222222222223,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.3,balanced,none,sweep,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.35,balanced,none,sweep,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.4,balanced,none,sweep,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.45,balanced,none,sweep,Etravirine
0.29250896965085227,0.2857142857142857,0.5,0.9444444444444444,0.2,0.8741176470588236,0.4035156999862882,B5,B5_class_weight_threshold_tuning,LOGO,6,0.5,balanced,none,sweep,Etravirine
