DRUG,EXCIPIENT,SOURCE,PROBABILITY
Nelfinavir,Apixaban,APPROVED_DRUGBANK,0.404
Nelfinavir,CREATININE,GRAS_IIG,0.404
Oleic Acid,Candesartan,APPROVED_DRUGBANK,0.404
Phylloquinone,Indomethacin,APPROVED_DRUGBANK,0.404
Pipecuronium,Indomethacin,APPROVED_DRUGBANK,0.404
Potassium Chloride,Vitamin_A_acetate,GRAS_IIG,0.404
Potassium Citrate,Vitamin_A_acetate,GRAS_IIG,0.404
Propofol,Vitamin_A_acetate,GRAS_IIG,0.404
Protirelin,Candesartan,APPROVED_DRUGBANK,0.404
Quinagolide,Indomethacin,APPROVED_DRUGBANK,0.404
Sodium Chloride,Vitamin_A_acetate,GRAS_IIG,0.404
Sodium Citrate,Vitamin_A_acetate,GRAS_IIG,0.404
Tegafur-uracil,Candesartan,APPROVED_DRUGBANK,0.404
Testosterone,Glycocholic_acid,GRAS_IIG,0.404
Trisodium citrate dihydrate,Vitamin_A_acetate,GRAS_IIG,0.404
Unoprostone,Candesartan,APPROVED_DRUGBANK,0.404
Ximelagatran,Candesartan,APPROVED_DRUGBANK,0.404
Acenocoumarol,Indomethacin,APPROVED_DRUGBANK,0.402
Adenosine monophosphate,Vitamin_A_palmitate,GRAS_IIG,0.402
Barnidipine,Vitamin_A_palmitate,GRAS_IIG,0.402
Bromodiphenhydramine,Candesartan,APPROVED_DRUGBANK,0.402
Candoxatril,Candesartan,APPROVED_DRUGBANK,0.402
Captodiame,Glycocholic_acid,GRAS_IIG,0.402
Cefazolin,Indomethacin,APPROVED_DRUGBANK,0.402
Cefdinir,Vitamin_A_palmitate,GRAS_IIG,0.402
Ceftriaxone,Candesartan,APPROVED_DRUGBANK,0.402
Cetrimonium,Vitamin_A_acetate,GRAS_IIG,0.402
Cholic Acid,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.402
Choline C 11,Vitamin_A_acetate,GRAS_IIG,0.402
Clotrimazole,Vitamin_A_palmitate,GRAS_IIG,0.402
Cobimetinib,Indomethacin,APPROVED_DRUGBANK,0.402
Colistin,Vitamin_A_palmitate,GRAS_IIG,0.402
Danazol,Candesartan,APPROVED_DRUGBANK,0.402
Dasabuvir,Candesartan,APPROVED_DRUGBANK,0.402
Deoxycholic Acid,Indomethacin,APPROVED_DRUGBANK,0.402
Dutasteride,Indomethacin,APPROVED_DRUGBANK,0.402
Eletriptan,Candesartan,APPROVED_DRUGBANK,0.402
Eliglustat,Indomethacin,APPROVED_DRUGBANK,0.402
Eribulin,Vitamin_A_palmitate,GRAS_IIG,0.402
Ferric pyrophosphate,Vitamin_A_acetate,GRAS_IIG,0.402
Fexofenadine,Candesartan,APPROVED_DRUGBANK,0.402
Gadobutrol,Candesartan,APPROVED_DRUGBANK,0.402
Imatinib,Candesartan,APPROVED_DRUGBANK,0.402
Iodipamide,Glycocholic_acid,GRAS_IIG,0.402
Lactose,Candesartan,APPROVED_DRUGBANK,0.402
Levallorphan,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.402
Lincomycin,Candesartan,APPROVED_DRUGBANK,0.402
Lopinavir,Indomethacin,APPROVED_DRUGBANK,0.402
Losartan,Vitamin_A_palmitate,GRAS_IIG,0.402
Macitentan,Vitamin_A_palmitate,GRAS_IIG,0.402
Magnesium Sulfate,Glycocholic_acid,GRAS_IIG,0.402
Magnesium Sulfate,Vitamin_A_acetate,GRAS_IIG,0.402
Magnesium hydroxide,Vitamin_A_acetate,GRAS_IIG,0.402
Mesna,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.402
Methylscopolamine bromide,Indomethacin,APPROVED_DRUGBANK,0.402
Nelfinavir,AQUAPHOR,GRAS_IIG,0.402
Nelfinavir,Armodafinil,APPROVED_DRUGBANK,0.402
Nelfinavir,Cytisine,APPROVED_DRUGBANK,0.402
Nelfinavir,Imidafenacin,APPROVED_DRUGBANK,0.402
Nelfinavir,Levodopa,APPROVED_DRUGBANK,0.402
Nelfinavir,Modafinil,APPROVED_DRUGBANK,0.402
Nelfinavir,Pimozide,APPROVED_DRUGBANK,0.402
Nelfinavir,Tocainide,APPROVED_DRUGBANK,0.402
Nisoldipine,Vitamin_A_palmitate,GRAS_IIG,0.402
Orlistat,Indomethacin,APPROVED_DRUGBANK,0.402
Oxaprozin,Vitamin_A_palmitate,GRAS_IIG,0.402
Pamidronate,Glycocholic_acid,GRAS_IIG,0.402
Paroxetine,Candesartan,APPROVED_DRUGBANK,0.402
Ponatinib,Glycocholic_acid,GRAS_IIG,0.402
Porfimer,Indomethacin,APPROVED_DRUGBANK,0.402
Prazepam,Candesartan,APPROVED_DRUGBANK,0.402
Prazepam,Glycocholic_acid,GRAS_IIG,0.402
Procaine benzylpenicillin,Indomethacin,APPROVED_DRUGBANK,0.402
Propiomazine,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.402
Rocuronium,Vitamin_A_palmitate,GRAS_IIG,0.402
Sibutramine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.402
Sildenafil,Vitamin_A_palmitate,GRAS_IIG,0.402
Sodium bicarbonate,Glycocholic_acid,GRAS_IIG,0.402
Sodium bicarbonate,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.402
Strontium ranelate,Candesartan,APPROVED_DRUGBANK,0.402
Terbinafine,Glycocholic_acid,GRAS_IIG,0.402
Thallous Chloride,Vitamin_A_acetate,GRAS_IIG,0.402
Tiagabine,Indomethacin,APPROVED_DRUGBANK,0.402
Ulipristal,Candesartan,APPROVED_DRUGBANK,0.402
Warfarin,Indomethacin,APPROVED_DRUGBANK,0.402
Zanamivir,Candesartan,APPROVED_DRUGBANK,0.402
Adapalene,Candesartan,APPROVED_DRUGBANK,0.4
Amikacin,Indomethacin,APPROVED_DRUGBANK,0.4
Ammonium lactate,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.4
Azlocillin,Indomethacin,APPROVED_DRUGBANK,0.4
Bendamustine,Glycocholic_acid,GRAS_IIG,0.4
Bendamustine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.4
Calcium carbonate,Vitamin_A_acetate,GRAS_IIG,0.4
Caspofungin,Vitamin_A_palmitate,GRAS_IIG,0.4
Cefazolin,Vitamin_A_palmitate,GRAS_IIG,0.4
Clarithromycin,Vitamin_A_palmitate,GRAS_IIG,0.4
Clofedanol,Vitamin_A_palmitate,GRAS_IIG,0.4
Colistin,Indomethacin,APPROVED_DRUGBANK,0.4
Delorazepam,Candesartan,APPROVED_DRUGBANK,0.4
Diazepam,Glycocholic_acid,GRAS_IIG,0.4
Diethylstilbestrol,Glycocholic_acid,GRAS_IIG,0.4
Disulfiram,Glycocholic_acid,GRAS_IIG,0.4
Dobutamine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.4
Enviomycin,Vitamin_A_palmitate,GRAS_IIG,0.4
Estrone,Taurocholic_acid,GRAS_IIG,0.4
Etizolam,Vitamin_A_palmitate,GRAS_IIG,0.4
Hemin,Candesartan,APPROVED_DRUGBANK,0.4
Levonordefrin,Vitamin_A_acetate,GRAS_IIG,0.4
Levonorgestrel,Candesartan,APPROVED_DRUGBANK,0.4
Mezlocillin,Indomethacin,APPROVED_DRUGBANK,0.4
Nelfinavir,Dapiprazole,APPROVED_DRUGBANK,0.4
Nelfinavir,Imatinib,APPROVED_DRUGBANK,0.4
Nelfinavir,Phenazopyridine,APPROVED_DRUGBANK,0.4
Nelfinavir,Prazepam,APPROVED_DRUGBANK,0.4
Nelfinavir,Raltegravir,APPROVED_DRUGBANK,0.4
Nelfinavir,Rufinamide,APPROVED_DRUGBANK,0.4
Nelfinavir,Tinidazole,APPROVED_DRUGBANK,0.4
Niclosamide,Vitamin_A_palmitate,GRAS_IIG,0.4
Piperonyl butoxide,Candesartan,APPROVED_DRUGBANK,0.4
Polidocanol,Candesartan,APPROVED_DRUGBANK,0.4
Ponatinib,Candesartan,APPROVED_DRUGBANK,0.4
Probucol,Azilsartan medoxomil,APPROVED_DRUGBANK,0.4
Prussian blue,Vitamin_A_acetate,GRAS_IIG,0.4
Remikiren,Indomethacin,APPROVED_DRUGBANK,0.4
S-Adenosylmethionine,Candesartan,APPROVED_DRUGBANK,0.4
Scopolamine butylbromide,Vitamin_A_palmitate,GRAS_IIG,0.4
Tafluprost,Indomethacin,APPROVED_DRUGBANK,0.4
Tamibarotene,Vitamin_A_palmitate,GRAS_IIG,0.4
Technetium Tc-99m Medronate,Glycocholic_acid,GRAS_IIG,0.4
Technetium Tc-99m Medronate,Vitamin_A_acetate,GRAS_IIG,0.4
Trazodone,Candesartan,APPROVED_DRUGBANK,0.4
Trioxsalen,Candesartan,APPROVED_DRUGBANK,0.4
Warfarin,Vitamin_A_palmitate,GRAS_IIG,0.4
Xanthophyll,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.4
Ximelagatran,Indomethacin,APPROVED_DRUGBANK,0.4
Allylestrenol,Glycocholic_acid,GRAS_IIG,0.398
Alpha-Linolenic Acid,Glycocholic_acid,GRAS_IIG,0.398
Alpha-Linolenic Acid,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.398
Amiloride,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.398
Anagrelide,Glycocholic_acid,GRAS_IIG,0.398
Bromhexine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.398
Cinnarizine,Indomethacin,APPROVED_DRUGBANK,0.398
Citalopram,Glycocholic_acid,GRAS_IIG,0.398
Clocapramine,Vitamin_A_palmitate,GRAS_IIG,0.398
Conjugated Estrogens,Glycocholic_acid,GRAS_IIG,0.398
Diethylstilbestrol,Vitamin_A_acetate,GRAS_IIG,0.398
Digitoxin,Vitamin_A_palmitate,GRAS_IIG,0.398
Diiodohydroxyquinoline,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.398
Dirithromycin,Indomethacin,APPROVED_DRUGBANK,0.398
Eltrombopag,Vitamin_A_palmitate,GRAS_IIG,0.398
Escitalopram,Glycocholic_acid,GRAS_IIG,0.398
Ethanolamine Oleate,Glycocholic_acid,GRAS_IIG,0.398
Ethynodiol diacetate,Glycocholic_acid,GRAS_IIG,0.398
Fluoxetine,Glycocholic_acid,GRAS_IIG,0.398
Fulvestrant,Azilsartan medoxomil,APPROVED_DRUGBANK,0.398
Gadoversetamide,Candesartan,APPROVED_DRUGBANK,0.398
Gadoversetamide,Glycocholic_acid,GRAS_IIG,0.398
Gadoxetic acid,Vitamin_A_palmitate,GRAS_IIG,0.398
Gentamicin,Indomethacin,APPROVED_DRUGBANK,0.398
Lincomycin,Vitamin_A_palmitate,GRAS_IIG,0.398
Lindane,Vitamin_A_acetate,GRAS_IIG,0.398
Methotrexate,Candesartan,APPROVED_DRUGBANK,0.398
Metocurine,Indomethacin,APPROVED_DRUGBANK,0.398
Mifepristone,Candesartan,APPROVED_DRUGBANK,0.398
Nelfinavir,Amphetamine,APPROVED_DRUGBANK,0.398
Nelfinavir,Bromhexine,APPROVED_DRUGBANK,0.398
Nelfinavir,Chlormezanone,APPROVED_DRUGBANK,0.398
Nelfinavir,Dextroamphetamine,APPROVED_DRUGBANK,0.398
Nelfinavir,Dorzolamide,APPROVED_DRUGBANK,0.398
Nelfinavir,Droxidopa,APPROVED_DRUGBANK,0.398
Nelfinavir,Flecainide,APPROVED_DRUGBANK,0.398
Nelfinavir,Guanfacine,APPROVED_DRUGBANK,0.398
Nelfinavir,Histamine Phosphate,APPROVED_DRUGBANK,0.398
Nelfinavir,Methazolamide,APPROVED_DRUGBANK,0.398
Nelfinavir,Phenformin,APPROVED_DRUGBANK,0.398
Nelfinavir,Pipotiazine,APPROVED_DRUGBANK,0.398
Nelfinavir,Salicylamide,APPROVED_DRUGBANK,0.398
Nelfinavir,Zonisamide,APPROVED_DRUGBANK,0.398
Nisoldipine,Candesartan,APPROVED_DRUGBANK,0.398
Paliperidone,Vitamin_A_palmitate,GRAS_IIG,0.398
Paricalcitol,Candesartan,APPROVED_DRUGBANK,0.398
Perhexiline,Vitamin_A_acetate,GRAS_IIG,0.398
Prussian blue,Glycocholic_acid,GRAS_IIG,0.398
Regorafenib,Glycerin_and_Glycerides,GRAS_IIG,0.398
Saquinavir,Candesartan,APPROVED_DRUGBANK,0.398
Sodium lauryl sulfate,Candesartan,APPROVED_DRUGBANK,0.398
Streptomycin,Vitamin_A_palmitate,GRAS_IIG,0.398
Sulindac,Candesartan,APPROVED_DRUGBANK,0.398
Tamibarotene,Candesartan,APPROVED_DRUGBANK,0.398
Tamsulosin,Indomethacin,APPROVED_DRUGBANK,0.398
Technetium Tc-99m Medronate,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.398
Travoprost,Indomethacin,APPROVED_DRUGBANK,0.398
Trazodone,Glycocholic_acid,GRAS_IIG,0.398
Valsartan,Indomethacin,APPROVED_DRUGBANK,0.398
Vecuronium,Indomethacin,APPROVED_DRUGBANK,0.398
Acitretin,Vitamin_A_palmitate,GRAS_IIG,0.396
Allylestrenol,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.396
Aztreonam,Vitamin_A_palmitate,GRAS_IIG,0.396
Balsalazide,Candesartan,APPROVED_DRUGBANK,0.396
Brotizolam,Candesartan,APPROVED_DRUGBANK,0.396
Bupranolol,Glycocholic_acid,GRAS_IIG,0.396
Butenafine,Glycocholic_acid,GRAS_IIG,0.396
Celecoxib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.396
Chromic chloride,Vitamin_A_acetate,GRAS_IIG,0.396
Clemastine,Candesartan,APPROVED_DRUGBANK,0.396
Clomipramine,Indomethacin,APPROVED_DRUGBANK,0.396
Crizotinib,Candesartan,APPROVED_DRUGBANK,0.396
Dabrafenib,Candesartan,APPROVED_DRUGBANK,0.396
Dasabuvir,Vitamin_A_palmitate,GRAS_IIG,0.396
Deslanoside,Vitamin_A_palmitate,GRAS_IIG,0.396
Dextropropoxyphene,Candesartan,APPROVED_DRUGBANK,0.396
Econazole,Pralatrexate,APPROVED_DRUGBANK,0.396
Eliglustat,Candesartan,APPROVED_DRUGBANK,0.396
Ertapenem,Candesartan,APPROVED_DRUGBANK,0.396
Erythromycin,Indomethacin,APPROVED_DRUGBANK,0.396
Estazolam,Glycocholic_acid,GRAS_IIG,0.396
Etizolam,Indomethacin,APPROVED_DRUGBANK,0.396
Florbetaben (18F),SODIUM_DESOXYCHOLATE,GRAS_IIG,0.396
Fluticasone Propionate,Candesartan,APPROVED_DRUGBANK,0.396
Gentamicin,Candesartan,APPROVED_DRUGBANK,0.396
Iloprost,Candesartan,APPROVED_DRUGBANK,0.396
Levopropoxyphene,Candesartan,APPROVED_DRUGBANK,0.396
Liothyronine,Candesartan,APPROVED_DRUGBANK,0.396
Methotrimeprazine,Candesartan,APPROVED_DRUGBANK,0.396
Moricizine,Candesartan,APPROVED_DRUGBANK,0.396
Naftifine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.396
Nandrolone phenpropionate,Candesartan,APPROVED_DRUGBANK,0.396
Nelfinavir,Azilsartan medoxomil,APPROVED_DRUGBANK,0.396
Nelfinavir,BENZYL_ACETATE,GRAS_IIG,0.396
Nelfinavir,Dapsone,APPROVED_DRUGBANK,0.396
Nelfinavir,FD&C_RED_NO._4,GRAS_IIG,0.396
Nelfinavir,Phenindamine,APPROVED_DRUGBANK,0.396
Nelfinavir,Solifenacin,APPROVED_DRUGBANK,0.396
Nelfinavir,Sulfamerazine,APPROVED_DRUGBANK,0.396
Norgestimate,Candesartan,APPROVED_DRUGBANK,0.396
Pamidronate,Vitamin_A_acetate,GRAS_IIG,0.396
Pazopanib,Vitamin_A_palmitate,GRAS_IIG,0.396
Phenoxybenzamine,Candesartan,APPROVED_DRUGBANK,0.396
Porfimer,Candesartan,APPROVED_DRUGBANK,0.396
Progabide,Glycocholic_acid,GRAS_IIG,0.396
Raltitrexed,Candesartan,APPROVED_DRUGBANK,0.396
Rimonabant,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.396
Silodosin,Indomethacin,APPROVED_DRUGBANK,0.396
Sucralfate,Candesartan,APPROVED_DRUGBANK,0.396
Sulfasalazine,Candesartan,APPROVED_DRUGBANK,0.396
Technetium Tc-99m sestamibi,Vitamin_A_acetate,GRAS_IIG,0.396
Triazolam,Candesartan,APPROVED_DRUGBANK,0.396
Troleandomycin,Candesartan,APPROVED_DRUGBANK,0.396
Vindesine,Candesartan,APPROVED_DRUGBANK,0.396
Zaltoprofen,Candesartan,APPROVED_DRUGBANK,0.396
Acetyldigitoxin,Candesartan,APPROVED_DRUGBANK,0.394
Adenosine monophosphate,Candesartan,APPROVED_DRUGBANK,0.394
Aminophylline,Candesartan,APPROVED_DRUGBANK,0.394
Benidipine,Candesartan,APPROVED_DRUGBANK,0.394
Brotizolam,Vitamin_A_palmitate,GRAS_IIG,0.394
Cabergoline,Indomethacin,APPROVED_DRUGBANK,0.394
Candesartan,Indomethacin,APPROVED_DRUGBANK,0.394
Cefdinir,Candesartan,APPROVED_DRUGBANK,0.394
Clarithromycin,Indomethacin,APPROVED_DRUGBANK,0.394
Clopidogrel,Vitamin_A_palmitate,GRAS_IIG,0.394
Clotiazepam,Candesartan,APPROVED_DRUGBANK,0.394
Colistin,Candesartan,APPROVED_DRUGBANK,0.394
Dextrothyroxine,Vitamin_A_palmitate,GRAS_IIG,0.394
Diclofenac,Glycocholic_acid,GRAS_IIG,0.394
Dimetotiazine,Indomethacin,APPROVED_DRUGBANK,0.394
Doxacurium chloride,Indomethacin,APPROVED_DRUGBANK,0.394
Drostanolone,Vitamin_A_acetate,GRAS_IIG,0.394
Dydrogesterone,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.394
Econazole,Esmolol,APPROVED_DRUGBANK,0.394
Eprazinone,Candesartan,APPROVED_DRUGBANK,0.394
Eribulin,Candesartan,APPROVED_DRUGBANK,0.394
Fenoldopam,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.394
Ferric pyrophosphate,Glycocholic_acid,GRAS_IIG,0.394
Fidaxomicin,Vitamin_A_palmitate,GRAS_IIG,0.394
Fluorescein,Candesartan,APPROVED_DRUGBANK,0.394
Gadopentetate dimeglumine,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.394
Gadoteridol,Glycocholic_acid,GRAS_IIG,0.394
Gadoversetamide,Vitamin_A_palmitate,GRAS_IIG,0.394
Icosapent,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.394
Indecainide,Glycocholic_acid,GRAS_IIG,0.394
Ioxaglic acid,Vitamin_A_palmitate,GRAS_IIG,0.394
Isosulfan blue,Candesartan,APPROVED_DRUGBANK,0.394
Lactulose,Candesartan,APPROVED_DRUGBANK,0.394
Latanoprost,Indomethacin,APPROVED_DRUGBANK,0.394
Lercanidipine,Vitamin_A_palmitate,GRAS_IIG,0.394
Levothyroxine,Vitamin_A_palmitate,GRAS_IIG,0.394
Methdilazine,Vitamin_A_palmitate,GRAS_IIG,0.394
Methotrimeprazine,Indomethacin,APPROVED_DRUGBANK,0.394
Nelfinavir,Dimetacrine,APPROVED_DRUGBANK,0.394
Nelfinavir,Phensuximide,APPROVED_DRUGBANK,0.394
Nelfinavir,Pipamperone,APPROVED_DRUGBANK,0.394
Nelfinavir,Pyrimethamine,APPROVED_DRUGBANK,0.394
Nelfinavir,Rimonabant,APPROVED_DRUGBANK,0.394
Nelfinavir,Tasosartan,APPROVED_DRUGBANK,0.394
Nelfinavir,Trimethaphan,APPROVED_DRUGBANK,0.394
Oxiconazole,Candesartan,APPROVED_DRUGBANK,0.394
Oxymetholone,Glycocholic_acid,GRAS_IIG,0.394
Oxytetracycline,Vitamin_A_palmitate,GRAS_IIG,0.394
Perampanel,Candesartan,APPROVED_DRUGBANK,0.394
Phosphatidyl serine,Vitamin_A_palmitate,GRAS_IIG,0.394
Polythiazide,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.394
Pralatrexate,Candesartan,APPROVED_DRUGBANK,0.394
Regadenoson,Candesartan,APPROVED_DRUGBANK,0.394
Reserpine,Indomethacin,APPROVED_DRUGBANK,0.394
Sodium aurothiomalate,Glycocholic_acid,GRAS_IIG,0.394
Spinosad,Candesartan,APPROVED_DRUGBANK,0.394
Thiothixene,Candesartan,APPROVED_DRUGBANK,0.394
Trichlormethiazide,Glycocholic_acid,GRAS_IIG,0.394
Trihexyphenidyl,Indomethacin,APPROVED_DRUGBANK,0.394
Vemurafenib,Candesartan,APPROVED_DRUGBANK,0.394
Adenosine triphosphate,Candesartan,APPROVED_DRUGBANK,0.392
Amcinonide,Indomethacin,APPROVED_DRUGBANK,0.392
Atorvastatin,Candesartan,APPROVED_DRUGBANK,0.392
Azithromycin,Indomethacin,APPROVED_DRUGBANK,0.392
Azlocillin,Vitamin_A_palmitate,GRAS_IIG,0.392
Bentoquatam,Vitamin_A_acetate,GRAS_IIG,0.392
Cabergoline,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.392
Calcium Chloride,Azilsartan medoxomil,APPROVED_DRUGBANK,0.392
Capsaicin,Candesartan,APPROVED_DRUGBANK,0.392
Capsaicin,Indomethacin,APPROVED_DRUGBANK,0.392
Cefditoren,Candesartan,APPROVED_DRUGBANK,0.392
Cefixime,Candesartan,APPROVED_DRUGBANK,0.392
Cefotiam,Candesartan,APPROVED_DRUGBANK,0.392
Ceftibuten,Candesartan,APPROVED_DRUGBANK,0.392
Choline C 11,Azilsartan medoxomil,APPROVED_DRUGBANK,0.392
Clobazam,Candesartan,APPROVED_DRUGBANK,0.392
Cyamemazine,Indomethacin,APPROVED_DRUGBANK,0.392
Cyproterone acetate,Glycocholic_acid,GRAS_IIG,0.392
Dasatinib,Candesartan,APPROVED_DRUGBANK,0.392
Deferoxamine,Vitamin_A_palmitate,GRAS_IIG,0.392
Dihydrotachysterol,Glycocholic_acid,GRAS_IIG,0.392
Diosmin,Indomethacin,APPROVED_DRUGBANK,0.392
Dipyridamole,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.392
Disulfiram,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.392
Econazole,Betaxolol,APPROVED_DRUGBANK,0.392
Econazole,Levobetaxolol,APPROVED_DRUGBANK,0.392
Ethanolamine Oleate,Candesartan,APPROVED_DRUGBANK,0.392
Flurandrenolide,Candesartan,APPROVED_DRUGBANK,0.392
Imatinib,Indomethacin,APPROVED_DRUGBANK,0.392
Inulin,Candesartan,APPROVED_DRUGBANK,0.392
Ioversol,Glycocholic_acid,GRAS_IIG,0.392
Ledipasvir,Indomethacin,APPROVED_DRUGBANK,0.392
Lindane,Azilsartan medoxomil,APPROVED_DRUGBANK,0.392
Lopinavir,Candesartan,APPROVED_DRUGBANK,0.392
Luliconazole,Glycocholic_acid,GRAS_IIG,0.392
Lumiracoxib,Vitamin_A_palmitate,GRAS_IIG,0.392
Mesna,Vitamin_A_acetate,GRAS_IIG,0.392
Nabilone,Indomethacin,APPROVED_DRUGBANK,0.392
Nandrolone phenpropionate,Vitamin_A_palmitate,GRAS_IIG,0.392
Nelfinavir,CALCIUM_CYCLAMATE,GRAS_IIG,0.392
Nelfinavir,Cortisone acetate,APPROVED_DRUGBANK,0.392
Nelfinavir,Cyclopentolate,APPROVED_DRUGBANK,0.392
Nelfinavir,D&C_RED_NO._36,GRAS_IIG,0.392
Nelfinavir,Droxicam,APPROVED_DRUGBANK,0.392
Nelfinavir,Flutamide,APPROVED_DRUGBANK,0.392
Nelfinavir,Glycerol Phenylbutyrate,APPROVED_DRUGBANK,0.392
Nelfinavir,Phenelzine,APPROVED_DRUGBANK,0.392
Nelfinavir,Sumatriptan,APPROVED_DRUGBANK,0.392
Nilotinib,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.392
Nystatin,Vitamin_A_palmitate,GRAS_IIG,0.392
Streptomycin,Candesartan,APPROVED_DRUGBANK,0.392
Sulfasalazine,Vitamin_A_palmitate,GRAS_IIG,0.392
Tacrolimus,Candesartan,APPROVED_DRUGBANK,0.392
Tolvaptan,Glycocholic_acid,GRAS_IIG,0.392
Trametinib,Candesartan,APPROVED_DRUGBANK,0.392
Tyropanoic acid,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.392
Verteporfin,Candesartan,APPROVED_DRUGBANK,0.392
Zucapsaicin,Candesartan,APPROVED_DRUGBANK,0.392
Zucapsaicin,Indomethacin,APPROVED_DRUGBANK,0.392
Alprazolam,Vitamin_A_palmitate,GRAS_IIG,0.39
Aluminium,Azilsartan medoxomil,APPROVED_DRUGBANK,0.39
Amfecloral,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Atovaquone,Clomipramine,APPROVED_DRUGBANK,0.39
Atovaquone,Desonide,APPROVED_DRUGBANK,0.39
Benidipine,Vitamin_A_palmitate,GRAS_IIG,0.39
Cangrelor,Candesartan,APPROVED_DRUGBANK,0.39
Carbamazepine,Glycocholic_acid,GRAS_IIG,0.39
Carprofen,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Cefmenoxime,Indomethacin,APPROVED_DRUGBANK,0.39
Ceftizoxime,Vitamin_A_palmitate,GRAS_IIG,0.39
Chlorhexidine,Glycocholic_acid,GRAS_IIG,0.39
Chlorprothixene,Taurocholic_acid,GRAS_IIG,0.39
Chlorprothixene,Vitamin_A_palmitate,GRAS_IIG,0.39
Clomifene,Vitamin_A_palmitate,GRAS_IIG,0.39
Clomocycline,Vitamin_A_palmitate,GRAS_IIG,0.39
Demeclocycline,Candesartan,APPROVED_DRUGBANK,0.39
Deoxycholic Acid,Glycocholic_acid,GRAS_IIG,0.39
Diatrizoate,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Drostanolone,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Eprosartan,Vitamin_A_palmitate,GRAS_IIG,0.39
Etacrynic acid,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Ethanolamine Oleate,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Fenoldopam,Vitamin_A_acetate,GRAS_IIG,0.39
Fluticasone furoate,Vitamin_A_palmitate,GRAS_IIG,0.39
Hydroxystilbamidine Isethionate,Candesartan,APPROVED_DRUGBANK,0.39
Isoaminile,Glycocholic_acid,GRAS_IIG,0.39
Isoconazole,Metoprolol,APPROVED_DRUGBANK,0.39
Ivacaftor,Vitamin_A_palmitate,GRAS_IIG,0.39
Ledipasvir,Candesartan,APPROVED_DRUGBANK,0.39
Ledipasvir,Vitamin_A_palmitate,GRAS_IIG,0.39
Lumefantrine,Vitamin_A_acetate,GRAS_IIG,0.39
Naloxegol,Vitamin_A_palmitate,GRAS_IIG,0.39
Nelfinavir,Azatadine,APPROVED_DRUGBANK,0.39
Nelfinavir,Benzylpenicillin,APPROVED_DRUGBANK,0.39
Nelfinavir,Bicalutamide,APPROVED_DRUGBANK,0.39
Nelfinavir,Crizotinib,APPROVED_DRUGBANK,0.39
Nelfinavir,Granisetron,APPROVED_DRUGBANK,0.39
Nelfinavir,Hydralazine,APPROVED_DRUGBANK,0.39
Nelfinavir,Iobenguane,APPROVED_DRUGBANK,0.39
Nelfinavir,L-Citrulline,APPROVED_DRUGBANK,0.39
Nelfinavir,Sulfanilamide,APPROVED_DRUGBANK,0.39
Paricalcitol,Vitamin_A_acetate,GRAS_IIG,0.39
Phenoxybenzamine,Glycocholic_acid,GRAS_IIG,0.39
Pipazethate,Candesartan,APPROVED_DRUGBANK,0.39
Pyrvinium,Vitamin_A_palmitate,GRAS_IIG,0.39
Simvastatin,Candesartan,APPROVED_DRUGBANK,0.39
Tamibarotene,Glycocholic_acid,GRAS_IIG,0.39
Tamibarotene,SODIUM_DESOXYCHOLATE,GRAS_IIG,0.39
Thioridazine,Tannic_acid_(hydrolyzable_gallotannins),GRAS_IIG,0.39
Travoprost,Candesartan,APPROVED_DRUGBANK,0.39
